total_volume,short_volume,reg_sho_date,ticker,short_exempt_volume,short_volume_ratio,reg_sho_asof
381.0,140.0,2026-09-18,ACA,0.0,0.3674540682414698,2026-09-18
159588.922644,93621.770326,2026-09-18,ACA,0.0,0.5866432881111994,2026-09-18
13549.02075,5341.0,2026-09-18,ACA,0.0,0.39419823015622735,2026-09-18
12.0,12.0,2026-09-18,ACAAW,0.0,1.0,2026-09-18
990.0822,350.0,2026-09-18,ACAD,0.0,0.353506001824899,2026-09-18
455460.340627,346621.155048,2026-09-18,ACAD,147.0,0.7610347688469015,2026-09-18
22220.11046,14139.0,2026-09-18,ACAD,0.0,0.6363154686135615,2026-09-18
305.0,235.0,2026-09-18,ACAZF,0.0,0.7704918032786885,2026-09-18
727.0,717.0,2026-09-18,ACB,0.0,0.9862448418156808,2026-09-18
221853.375523,113320.58982,2026-09-18,ACB,0.0,0.5107904693938353,2026-09-18
5001.70431,1144.0,2026-09-18,ACB,0.0,0.22872203734890517,2026-09-18
103.5189,1.0,2026-09-18,ACBE,0.0,0.009660071735692709,2026-09-18
4.0,1.0,2026-09-18,ACBE,0.0,0.25,2026-09-18
25.9599,4.0,2026-09-18,ACBH,0.0,0.15408379847379997,2026-09-18
2246.0,1259.0,2026-09-18,ACCL,0.0,0.5605520926090828,2026-09-18
432.0,52.0,2026-09-18,ACCO,0.0,0.12037037037037036,2026-09-18
269274.688658,212116.66997,2026-09-18,ACCO,298.0,0.787733414630013,2026-09-18
7810.44115,4419.44115,2026-09-18,ACCO,0.0,0.5658375839628469,2026-09-18
1029.0,829.0,2026-09-18,ACCR,0.0,0.8056365403304179,2026-09-18
504.0,404.0,2026-09-18,ACCS,0.0,0.8015873015873016,2026-09-18
2083.8332,686.0,2026-09-18,ACCS,0.0,0.3292010128257866,2026-09-18
60871.0,33164.0,2026-09-18,ACCYY,0.0,0.544824300570058,2026-09-18
5760.0,5000.0,2026-09-18,ACDC,0.0,0.8680555555555556,2026-09-18
218666.715694,148374.288514,2026-09-18,ACDC,0.0,0.6785408014342407,2026-09-18
16589.0,15741.0,2026-09-18,ACDC,0.0,0.9488817891373802,2026-09-18
12426.0,10327.0,2026-09-18,ACDVF,0.0,0.8310799935618863,2026-09-18
49939.312547,12572.167647,2026-09-18,ACEI,0.0,0.25174891294644475,2026-09-18
200.0,200.0,2026-09-18,ACEI,0.0,1.0,2026-09-18
649.0427,619.0,2026-09-18,ACEL,0.0,0.9537122904240353,2026-09-18
75150.112945,50461.768747,2026-09-18,ACEL,0.0,0.6714796128640735,2026-09-18
1779.0,1580.0,2026-09-18,ACEL,0.0,0.8881394041596402,2026-09-18
5.278928,3.0,2026-09-18,ACEP,0.0,0.5682971997344916,2026-09-18
44586.880194,585.500639,2026-09-18,ACES,0.0,0.013131679912396967,2026-09-18
1130.0,1130.0,2026-09-18,ACET,0.0,1.0,2026-09-18
36501.531488,12582.967078,2026-09-18,ACET,0.0,0.34472435991176675,2026-09-18
338.0,210.0,2026-09-18,ACET,0.0,0.621301775147929,2026-09-18
67.0,40.0,2026-09-18,ACFN,0.0,0.5970149253731343,2026-09-18
9698.802935,6103.27221,2026-09-18,ACFN,0.0,0.6292809794057332,2026-09-18
463.0,24.0,2026-09-18,ACFN,0.0,0.05183585313174946,2026-09-18
17713.0,12050.0,2026-09-18,ACGBY,0.0,0.6802913114661548,2026-09-18
116.0,114.0,2026-09-18,ACGC,0.0,0.9827586206896551,2026-09-18
4280.0,1580.0,2026-09-18,ACGCW,0.0,0.3691588785046729,2026-09-18
1416.5324,741.9,2026-09-18,ACGL,0.0,0.523743756231767,2026-09-18
1520961.858916,620677.96154,2026-09-18,ACGL,442.0,0.4080825287639767,2026-09-18
84065.05113,44736.0,2026-09-18,ACGL,0.0,0.532159314705219,2026-09-18
503.0,493.0,2026-09-18,ACGLN,0.0,0.9801192842942346,2026-09-18
25943.60393,4757.0,2026-09-18,ACGLN,0.0,0.18335925929316327,2026-09-18
39850.5483,30844.0,2026-09-18,ACGLO,0.0,0.7739918599815099,2026-09-18
6.2971,3.0,2026-09-18,ACGO,0.0,0.476409775928602,2026-09-18
2003.0,2000.0,2026-09-18,ACGP,0.0,0.9985022466300549,2026-09-18
14.5408,10.0,2026-09-18,ACGR,0.0,0.6877200704225351,2026-09-18
3295.2672,2802.0,2026-09-18,ACH,2.0,0.8503104088190482,2026-09-18
799119.324538,645946.192986,2026-09-18,ACH,5930.0,0.8083225785578956,2026-09-18
72302.0,70946.0,2026-09-18,ACH,0.0,0.981245332079334,2026-09-18
74.0,73.0,2026-09-18,ACHC,0.0,0.9864864864864865,2026-09-18
727605.672855,568140.506585,2026-09-18,ACHC,0.0,0.780835729820129,2026-09-18
47794.75216,44602.0,2026-09-18,ACHC,0.0,0.9331986878117542,2026-09-18
33100.0,1100.0,2026-09-18,ACHFF,0.0,0.03323262839879154,2026-09-18
50215.557947,21682.416847,2026-09-18,ACHR,0.0,0.4317868352649731,2026-09-18
13151766.603026,7573182.936346,2026-09-18,ACHR,10667.0,0.5758300892142914,2026-09-18
1083635.77361,696443.22689,2026-09-18,ACHR,14716.0,0.6426912472351154,2026-09-18
1687.5589,299.0,2026-09-18,ACHV,0.0,0.1771790009818324,2026-09-18
351540.726226,295389.156784,2026-09-18,ACHV,35.0,0.8402700874950658,2026-09-18
29769.0,17037.0,2026-09-18,ACHV,0.0,0.572306762067923,2026-09-18
538.3416,364.0,2026-09-18,ACHX,0.0,0.6761506077182221,2026-09-18
2635.079936,1887.0,2026-09-18,ACI,0.0,0.7161073082528302,2026-09-18
1814507.794519,1054983.169413,2026-09-18,ACI,19.0,0.5814156172818541,2026-09-18
102057.00262,41585.32136,2026-09-18,ACI,0.0,0.4074715138836595,2026-09-18
138.0,138.0,2026-09-18,ACIC,0.0,1.0,2026-09-18
153501.984222,100138.012171,2026-09-18,ACIC,10.0,0.6523564674328696,2026-09-18
6637.0,5626.0,2026-09-18,ACIC,0.0,0.8476721410275727,2026-09-18
38968.011813,32453.7792,2026-09-18,ACII,0.0,0.8328312810963888,2026-09-18
96123.252766,38813.3937,2026-09-18,ACIO,0.0,0.4037877681322992,2026-09-18
701.0,200.0,2026-09-18,ACIU,0.0,0.28530670470756064,2026-09-18
16958.091898,8691.015748,2026-09-18,ACIU,0.0,0.512499625563711,2026-09-18
646.0,573.0,2026-09-18,ACIU,0.0,0.8869969040247678,2026-09-18
346.0235,40.0,2026-09-18,ACIW,0.0,0.11559908503324196,2026-09-18
209095.073371,186690.864571,2026-09-18,ACIW,0.0,0.8928515701551326,2026-09-18
10676.81162,9547.0,2026-09-18,ACIW,0.0,0.8941808041378555,2026-09-18
15359.74286,4060.191197,2026-09-18,ACKY,0.0,0.26433978967015076,2026-09-18
2170.031352,1776.117952,2026-09-18,ACLC,0.0,0.8184757102071584,2026-09-18
28.0,28.0,2026-09-18,ACLIF,0.0,1.0,2026-09-18
669.0,456.0,2026-09-18,ACLLF,0.0,0.6816143497757847,2026-09-18
575.0,12.0,2026-09-18,ACLLY,0.0,0.020869565217391306,2026-09-18
3774.213569,3475.0,2026-09-18,ACLO,0.0,0.920721611660339,2026-09-18
723.3344,305.0,2026-09-18,ACLS,0.0,0.42165836437476223,2026-09-18
66059.533018,30575.000897,2026-09-18,ACLS,361.0,0.46284010043893103,2026-09-18
3928.50197,2369.0,2026-09-18,ACLS,0.0,0.6030288435874197,2026-09-18
1684.0,945.0,2026-09-18,ACLZ,0.0,0.5611638954869359,2026-09-18
2831.1348,72.0,2026-09-18,ACM,0.0,0.02543149835182698,2026-09-18
601984.279398,295046.40017,2026-09-18,ACM,132.0,0.4901230983391362,2026-09-18
36835.8809,21621.0909,2026-09-18,ACM,0.0,0.5869573462542063,2026-09-18
117182.0,79707.0,2026-09-18,ACMIF,0.0,0.6801983239746718,2026-09-18
2.0,2.0,2026-09-18,ACMM,0.0,1.0,2026-09-18
3014.0,3010.0,2026-09-18,ACMM,0.0,0.9986728599867286,2026-09-18
9775.073363,279.725163,2026-09-18,ACMR,0.0,0.028616170192522373,2026-09-18
311343.877797,155501.148373,2026-09-18,ACMR,251.0,0.4994514408739672,2026-09-18
13486.86228,8589.99728,2026-09-18,ACMR,0.0,0.6369159187410343,2026-09-18
12205.18966,7567.66857,2026-09-18,ACN,0.0,0.6200369499215139,2026-09-18
2047968.665506,1142391.33119,2026-09-18,ACN,819.0,0.5578168018052878,2026-09-18
79621.28559,46339.74717,2026-09-18,ACN,0.0,0.5820019964086088,2026-09-18
85.3676,10.0,2026-09-18,ACNB,0.0,0.11714046078371654,2026-09-18
21485.685009,17858.410806,2026-09-18,ACNB,0.0,0.8311771674265636,2026-09-18
1435.29407,950.29407,2026-09-18,ACNB,0.0,0.6620901527169273,2026-09-18
390.0,290.0,2026-09-18,ACNFF,0.0,0.7435897435897436,2026-09-18
4315.8829,470.0,2026-09-18,ACNT,0.0,0.1089000816032335,2026-09-18
67.0,62.0,2026-09-18,ACNT,0.0,0.9253731343283582,2026-09-18
707.0,497.0,2026-09-18,ACOG,0.0,0.7029702970297029,2026-09-18
27294.970143,7710.4952,2026-09-18,ACOG,0.0,0.28248776824463445,2026-09-18
140.635501,136.0,2026-09-18,ACOM,0.0,0.9670388986632898,2026-09-18
6192.257911,302.45,2026-09-18,ACON,0.0,0.04884324980436042,2026-09-18
193.0,112.0,2026-09-18,ACON,0.0,0.5803108808290155,2026-09-18
10.0,10.0,2026-09-18,ACP,0.0,1.0,2026-09-18
366029.110119,136169.283217,2026-09-18,ACP,4515.0,0.3720176331678371,2026-09-18
8206.79022,7284.1166,2026-09-18,ACP,0.0,0.8875719257753855,2026-09-18
2912.0136,167.0,2026-09-18,ACPPA,0.0,0.05734863326187762,2026-09-18
3031.5557,1385.0,2026-09-18,ACQQ,0.0,0.45686114228414143,2026-09-18
18813.00027,12147.0,2026-09-18,ACR,0.0,0.6456705376956867,2026-09-18
1871.81367,1201.81367,2026-09-18,ACR,0.0,0.6420583892840146,2026-09-18
2130.2025,2110.0,2026-09-18,ACRE,0.0,0.9905161598486529,2026-09-18
89704.962856,63726.317308,2026-09-18,ACRE,0.0,0.7103990156073913,2026-09-18
2135.95748,1757.95748,2026-09-18,ACRE,2.0,0.8230301850390768,2026-09-18
109.0,50.0,2026-09-18,ACRFF,0.0,0.45871559633027525,2026-09-18
5272.2986,4169.0,2026-09-18,ACRPC,0.0,0.7907367006868693,2026-09-18
1463.2603,865.0,2026-09-18,ACRPD,0.0,0.5911456765416242,2026-09-18
80.0,80.0,2026-09-18,ACRS,0.0,1.0,2026-09-18
805087.691243,404872.591588,2026-09-18,ACRS,0.0,0.5028925370389213,2026-09-18
98339.0,21107.0,2026-09-18,ACRS,0.0,0.21463508882538973,2026-09-18
230.4092,12.0,2026-09-18,ACRT,0.0,0.052081253699939066,2026-09-18
8514.0,3414.0,2026-09-18,ACRV,0.0,0.4009866102889359,2026-09-18
216463.975292,119173.950104,2026-09-18,ACRV,4100.0,0.5505486533878896,2026-09-18
7339.0,2554.0,2026-09-18,ACRV,0.0,0.34800381523368307,2026-09-18
86441.0,15128.0,2026-09-18,ACSAY,0.0,0.17500954408209068,2026-09-18
876.0994,815.5894,2026-09-18,ACSG,0.0,0.9309324946461555,2026-09-18
9.0391,3.0,2026-09-18,ACSI,0.0,0.3318914493699594,2026-09-18
7881.3895,3555.0,2026-09-18,ACSP,0.0,0.4510625949903884,2026-09-18
